Function,Time
transform_load_master_tradetype,0.005797863006591797
transform_load_master_statustype,0.0063974857330322266
transform_load_master_taxrate,0.006928682327270508
transform_load_master_industry,0.006376028060913086
transform_load_master_dimdate,0.11234807968139648
transform_load_master_dimtime,0.1018683910369873
transform_load_master_dimcompany,0.05419754981994629
transform_load_master_dimmessage_dimcompany,0.008127212524414062
transform_load_master_dimbroker,0.03251767158508301
transform_load_master_prospect,1.193122148513794
transform_load_master_dimcustomer,0.2565333843231201
load_master_dimessages_dimcustomer,0.015532970428466797
update_master_prospect,0.05748152732849121
transform_load_master_dimaccount,0.16323614120483398
transform_load_master_dimsecurity,1.2398450374603271
transform_load_master_dimtrade,2.953939199447632
load_master_dimessages_dimtrade,0.0672459602355957
transform_load_financial,17.50399136543274
transform_load_fact_cash_balances,0.6530277729034424
transform_load_fact_holdings,1.040092945098877
transform_load_fact_watches,0.5174331665039062
transform_load_fact_market_history,5.772942066192627
load_fact_market_history_message,0.07060837745666504
